index,date,points
997,2010-02-03,5
998,2010-02-05,33
999,2010-02-23,32
1000,2010-02-24,20
1001,2010-02-26,19
1002,2010-02-28,14
1003,2010-03-02,24
1004,2010-03-04,39
1005,2010-03-05,26
1006,2010-03-07,34
1007,2010-03-09,32
1008,2010-03-12,21
1009,2010-03-15,29
1010,2010-03-16,30
1011,2010-03-19,22
1012,2010-03-21,24
1013,2010-03-24,24
1014,2010-03-26,11
1015,2010-03-27,17
1016,2010-03-29,31
1017,2010-03-31,28
1018,2010-04-02,25
1019,2010-04-04,22
1020,2010-04-11,20
1021,2010-10-26,27
1022,2010-10-29,25
1023,2010-10-31,20
1024,2010-11-02,23
1025,2010-11-03,30
1026,2010-11-05,23
1027,2010-11-07,12
1028,2010-11-09,33
1029,2010-11-11,34
1030,2010-11-14,25
1031,2010-11-16,31
1032,2010-11-17,33
1033,2010-11-19,23
1034,2010-11-21,20
1035,2010-11-23,20
1036,2010-11-26,31
1037,2010-11-28,41
1038,2010-11-30,29
1039,2010-12-01,27
1040,2010-12-03,22
1041,2010-12-07,32
1042,2010-12-08,24
1043,2010-12-10,23
1044,2010-12-12,32
1045,2010-12-14,24
1046,2010-12-15,31
1047,2010-12-17,9
1048,2010-12-19,20
1049,2010-12-21,21
1050,2010-12-25,17
1051,2010-12-28,21
1052,2010-12-29,20
1053,2010-12-31,33
1054,2011-01-02,28
1055,2011-01-04,17
1056,2011-01-05,24
1057,2011-01-07,25
1058,2011-01-09,27
1059,2011-01-11,13
1060,2011-01-12,39
1061,2011-01-14,27
1062,2011-01-16,27
1063,2011-01-17,21
1064,2011-01-19,21
1065,2011-01-21,18
1066,2011-01-25,21
1067,2011-01-28,38
1068,2011-01-30,41
1069,2011-02-01,32
1070,2011-02-03,16
1071,2011-02-05,32
1072,2011-02-07,19
1073,2011-02-10,23
1074,2011-02-11,33
1075,2011-02-13,17
1076,2011-02-14,20
1077,2011-02-16,17
1078,2011-02-22,20
1079,2011-02-23,37
1080,2011-02-25,24
1081,2011-02-27,17
1082,2011-03-01,24
1083,2011-03-04,27
1084,2011-03-06,26
1085,2011-03-08,26
1086,2011-03-10,24
1087,2011-03-12,16
1088,2011-03-14,16
1089,2011-03-18,18
1090,2011-03-20,22
1091,2011-03-22,42
1092,2011-03-25,37
1093,2011-03-27,30
1094,2011-03-31,28
1095,2011-04-01,21
1096,2011-04-03,28
1097,2011-04-05,20
1098,2011-04-06,25
1099,2011-04-08,24
1100,2011-04-10,31
1101,2011-04-12,27
1102,2011-04-13,36
1103,2011-12-25,28
1104,2011-12-26,29
1105,2011-12-27,26
1106,2011-12-29,28
1107,2011-12-31,17
1108,2012-01-01,16
1109,2012-01-03,37
1110,2012-01-05,30
1111,2012-01-06,39
1112,2012-01-08,26
1113,2012-01-10,48
1114,2012-01-11,40
1115,2012-01-13,42
1116,2012-01-14,42
1117,2012-01-16,14
1118,2012-01-19,24
1119,2012-01-20,30
1120,2012-01-22,33
1121,2012-01-25,24
1122,2012-01-28,27
1123,2012-01-29,35
1124,2012-01-31,24
1125,2012-02-03,20
1126,2012-02-04,26
1127,2012-02-06,28
1128,2012-02-09,27
1129,2012-02-10,34
1130,2012-02-12,27
1131,2012-02-14,10
1132,2012-02-17,36
1133,2012-02-19,32
1134,2012-02-20,28
1135,2012-02-22,15
1136,2012-02-23,24
1137,2012-02-29,31
1138,2012-03-02,38
1139,2012-03-04,33
1140,2012-03-06,22
1141,2012-03-07,30
1142,2012-03-09,34
1143,2012-03-11,26
1144,2012-03-13,34
1145,2012-03-14,33
1146,2012-03-16,28
1147,2012-03-18,15
1148,2012-03-20,29
1149,2012-03-21,30
1150,2012-03-23,18
