index,date,points,fgp
675,2012-03-30,26,.611
676,2012-04-01,23,.550
677,2012-04-03,41,.600
678,2012-04-04,34,.500
679,2012-04-06,21,.421
680,2012-04-08,26,.545
681,2012-04-10,36,.478
682,2012-04-12,30,.458
683,2012-04-13,19,.438
684,2012-04-15,29,.458
685,2012-04-16,37,.579
686,2012-04-18,28,.800
687,2012-04-19,27,.444
688,2012-04-22,32,.524
689,2012-10-30,26,.625
690,2012-11-02,23,.500
691,2012-11-03,20,.471
692,2012-11-05,23,.588
693,2012-11-07,20,.583
694,2012-11-09,21,.588
695,2012-11-11,20,.526
696,2012-11-12,38,.538
697,2012-11-14,30,.522
698,2012-11-15,27,.478
699,2012-11-17,21,.400
700,2012-11-21,28,.524
701,2012-11-24,30,.625
702,2012-11-29,23,.563
703,2012-12-01,21,.533
704,2012-12-04,26,.500
705,2012-12-06,31,.550
706,2012-12-08,24,.688
707,2012-12-10,27,.625
708,2012-12-12,31,.522
709,2012-12-15,23,.533
710,2012-12-18,22,.444
711,2012-12-20,24,.692
712,2012-12-22,30,.550
713,2012-12-25,29,.600
714,2012-12-26,27,.474
715,2012-12-28,35,.682
716,2012-12-29,26,.550
717,2012-12-31,36,.455
718,2013-01-02,32,.550
719,2013-01-04,30,.571
720,2013-01-06,24,.529
721,2013-01-08,22,.500
722,2013-01-10,15,.375
723,2013-01-12,20,.700
724,2013-01-14,32,.684
725,2013-01-16,25,.550
726,2013-01-17,39,.680
727,2013-01-23,31,.522
728,2013-01-25,23,.643
729,2013-01-27,34,.452
730,2013-01-30,24,.556
731,2013-02-01,28,.529
732,2013-02-03,30,.625
733,2013-02-04,31,.929
734,2013-02-06,32,.611
735,2013-02-08,30,.818
736,2013-02-10,32,.667
737,2013-02-12,30,.733
738,2013-02-14,39,.583
739,2013-02-20,24,.533
740,2013-02-21,26,.733
741,2013-02-23,16,.583
742,2013-02-24,28,.526
743,2013-02-26,40,.609
744,2013-03-01,18,.286
745,2013-03-03,29,.522
746,2013-03-04,20,.563
747,2013-03-06,26,.500
748,2013-03-08,25,.588
749,2013-03-10,13,.500
750,2013-03-12,15,.273
751,2013-03-13,27,.421
752,2013-03-15,28,.500
753,2013-03-17,22,.500
754,2013-03-18,37,.552
755,2013-03-20,25,.364
756,2013-03-22,29,.800
757,2013-03-24,32,.786
758,2013-03-25,24,.563
759,2013-03-27,32,.647
760,2013-03-29,36,.650
761,2013-04-06,27,.706
762,2013-04-09,28,.688
763,2013-04-12,20,.800
764,2013-04-14,24,.583
765,2013-10-29,17,.455
766,2013-10-30,25,.529
767,2013-11-01,26,.579
768,2013-11-03,25,.643
769,2013-11-05,35,.650
770,2013-11-07,18,.462
771,2013-11-09,25,.692
772,2013-11-12,33,.619
773,2013-11-15,39,.778
774,2013-11-16,30,.722
775,2013-11-19,13,.462
776,2013-11-20,21,.455
777,2013-11-23,22,.538
778,2013-11-25,35,.786
779,2013-11-27,28,.474
780,2013-11-29,27,.588
781,2013-12-01,26,.615
782,2013-12-03,23,.533
783,2013-12-05,21,.412
784,2013-12-07,21,.750
785,2013-12-08,24,.667
786,2013-12-10,17,.375
787,2013-12-14,25,.750
788,2013-12-16,30,.765
789,2013-12-18,24,.571
790,2013-12-20,18,.727
791,2013-12-23,38,.571
792,2013-12-25,19,.500
793,2013-12-27,33,.522
794,2013-12-30,26,.533
795,2014-01-02,26,.625
796,2014-01-04,15,.385
797,2014-01-05,30,.667
798,2014-01-07,32,.591
799,2014-01-09,32,.706
800,2014-01-10,36,.571
801,2014-01-15,25,.444
802,2014-01-17,21,.538
803,2014-01-18,34,.520
804,2014-01-20,30,.524
805,2014-01-21,29,.526
806,2014-01-23,27,.600
