index,dates,points
632,1993-02-03,36
633,1993-02-04,33
634,1993-02-07,34
635,1993-02-10,40
636,1993-02-13,25
637,1993-02-15,32
638,1993-02-17,27
639,1993-02-23,34
640,1993-02-25,36
641,1993-02-27,34
642,1993-03-02,24
643,1993-03-09,38
644,1993-03-11,29
645,1993-03-12,52
646,1993-03-14,28
647,1993-03-15,23
648,1993-03-19,25
649,1993-03-20,47
650,1993-03-23,34
651,1993-03-24,43
652,1993-03-26,18
653,1993-03-30,44
654,1993-04-02,40
655,1993-04-04,32
656,1993-04-06,30
657,1993-04-09,30
658,1993-04-10,25
659,1993-04-12,23
660,1993-04-14,34
661,1993-04-16,47
662,1993-04-18,32
663,1993-04-20,28
664,1993-04-22,36
665,1993-04-23,38
666,1993-04-25,21
667,1995-03-19,19
668,1995-03-22,27
669,1995-03-24,21
670,1995-03-25,32
671,1995-03-28,55
672,1995-03-30,23
673,1995-04-01,12
674,1995-04-05,37
675,1995-04-07,28
676,1995-04-09,21
677,1995-04-11,25
678,1995-04-12,29
679,1995-04-16,28
680,1995-04-17,31
681,1995-04-20,17
682,1995-04-22,19
683,1995-04-23,33
684,1995-11-03,42
685,1995-11-04,15
686,1995-11-07,38
687,1995-11-09,29
688,1995-11-11,36
689,1995-11-14,23
690,1995-11-15,20
691,1995-11-17,18
692,1995-11-21,36
693,1995-11-22,38
694,1995-11-24,34
695,1995-11-26,22
696,1995-11-27,33
697,1995-11-30,29
698,1995-12-02,37
699,1995-12-06,22
700,1995-12-08,28
701,1995-12-09,45
702,1995-12-13,36
703,1995-12-14,22
704,1995-12-16,20
705,1995-12-18,37
706,1995-12-19,32
707,1995-12-22,27
708,1995-12-23,30
709,1995-12-26,30
710,1995-12-29,29
711,1995-12-30,33
712,1996-01-03,38
713,1996-01-04,27
714,1996-01-06,32
715,1996-01-10,35
716,1996-01-13,48
717,1996-01-15,46
718,1996-01-16,32
719,1996-01-18,38
720,1996-01-21,36
721,1996-01-23,33
722,1996-01-24,12
723,1996-01-26,25
724,1996-01-28,31
725,1996-01-30,22
726,1996-02-01,27
727,1996-02-02,17
728,1996-02-04,39
729,1996-02-06,28
730,1996-02-07,40
731,1996-02-13,32
732,1996-02-15,32
733,1996-02-16,35
734,1996-02-18,44
735,1996-02-20,14
736,1996-02-22,34
737,1996-02-23,31
738,1996-02-25,23
739,1996-02-27,35
740,1996-03-01,17
741,1996-03-02,21
742,1996-03-05,33
743,1996-03-07,53
744,1996-03-10,32
745,1996-03-13,37
746,1996-03-15,33
747,1996-03-16,37
748,1996-03-18,38
749,1996-03-19,20
750,1996-03-21,36
751,1996-03-24,36
752,1996-03-28,13
753,1996-03-30,21
754,1996-04-02,32
755,1996-04-04,40
756,1996-04-05,24
757,1996-04-07,27
758,1996-04-08,40
759,1996-04-11,17
760,1996-04-12,23
761,1996-04-14,32
762,1996-04-16,22
763,1996-04-18,30
764,1996-04-20,24
765,1996-04-21,26
766,1996-11-01,30
767,1996-11-02,27
768,1996-11-05,22
769,1996-11-06,50
770,1996-11-08,15
771,1996-11-09,27
772,1996-11-11,26
773,1996-11-13,28
774,1996-11-15,38
775,1996-11-16,25
776,1996-11-20,37
777,1996-11-21,31
778,1996-11-23,44
779,1996-11-25,40
780,1996-11-29,36
781,1996-11-30,35
782,1996-12-03,40
783,1996-12-05,20
784,1996-12-07,37
785,1996-12-08,13
786,1996-12-11,27
787,1996-12-13,32
788,1996-12-14,29
789,1996-12-17,30
790,1996-12-19,35
791,1996-12-21,31
792,1996-12-23,24
793,1996-12-25,23
794,1996-12-26,34
795,1996-12-28,45
796,1996-12-30,28
797,1997-01-03,22
798,1997-01-06,23
799,1997-01-10,33
800,1997-01-11,32
801,1997-01-14,39
802,1997-01-15,25
803,1997-01-17,24
804,1997-01-19,26
805,1997-01-21,51
806,1997-01-23,32
807,1997-01-25,24
808,1997-01-28,28
809,1997-01-30,32
810,1997-01-31,18
811,1997-02-02,45
812,1997-02-04,36
813,1997-02-05,27
814,1997-02-11,43
815,1997-02-14,30
816,1997-02-16,19
817,1997-02-18,24
818,1997-02-21,36
819,1997-02-22,34
820,1997-02-24,37
821,1997-02-27,23
822,1997-02-28,35
823,1997-03-03,31
824,1997-03-05,16
825,1997-03-07,38
826,1997-03-09,36
827,1997-03-11,32
828,1997-03-12,23
829,1997-03-14,36
830,1997-03-15,10
831,1997-03-18,32
832,1997-03-21,36
833,1997-03-22,23
834,1997-03-25,20
835,1997-03-27,12
836,1997-03-29,21
837,1997-04-01,21
838,1997-04-03,34
839,1997-04-04,22
840,1997-04-06,37
841,1997-04-07,30
842,1997-04-09,23
843,1997-04-10,34
844,1997-04-13,18
845,1997-04-14,30
846,1997-04-16,26
847,1997-04-19,33
848,1997-10-31,30
849,1997-11-01,16
850,1997-11-03,29
851,1997-11-05,29
852,1997-11-07,27
853,1997-11-08,15
854,1997-11-11,19
855,1997-11-12,28
856,1997-11-14,28
857,1997-11-15,27
858,1997-11-20,30
859,1997-11-21,49
860,1997-11-23,33
861,1997-11-25,26
862,1997-11-28,26
863,1997-11-29,29
864,1997-12-03,29
865,1997-12-05,13
866,1997-12-09,29
867,1997-12-10,25
868,1997-12-12,28
869,1997-12-13,11
870,1997-12-15,31
871,1997-12-17,36
872,1997-12-20,24
873,1997-12-23,27
874,1997-12-25,24
875,1997-12-27,47
876,1997-12-29,41
877,1997-12-30,33
878,1998-01-02,44
879,1998-01-03,34
880,1998-01-06,19
881,1998-01-07,26
882,1998-01-09,44
883,1998-01-10,32
884,1998-01-13,40
885,1998-01-15,20
886,1998-01-16,27
887,1998-01-18,45
888,1998-01-21,33
889,1998-01-23,32
890,1998-01-25,32
891,1998-01-27,20
892,1998-01-29,29
893,1998-01-30,14
894,1998-02-01,31
895,1998-02-02,15
896,1998-02-04,40
897,1998-02-10,18
898,1998-02-11,29
899,1998-02-13,37
900,1998-02-15,21
901,1998-02-17,27
902,1998-02-19,16
903,1998-02-21,19
904,1998-02-23,17
905,1998-02-25,33
906,1998-02-28,28
907,1998-03-03,30
908,1998-03-08,42
909,1998-03-10,37
910,1998-03-12,26
911,1998-03-14,30
912,1998-03-16,17
913,1998-03-17,35
914,1998-03-20,24
915,1998-03-22,33
916,1998-03-23,24
917,1998-03-25,17
918,1998-03-27,34
919,1998-03-29,30
920,1998-03-31,26
921,1998-04-03,41
922,1998-04-05,40
923,1998-04-07,30
924,1998-04-09,29
925,1998-04-11,37
926,1998-04-13,27
927,1998-04-15,19
928,1998-04-17,24
929,1998-04-18,44
930,2001-10-30,19
931,2001-11-01,31
932,2001-11-03,20
933,2001-11-04,19
934,2001-11-07,32
935,2001-11-09,32
936,2001-11-11,16
937,2001-11-14,31
938,2001-11-16,44
939,2001-11-20,30
940,2001-11-22,21
941,2001-11-24,17
942,2001-11-27,18
943,2001-11-28,30
944,2001-11-30,22
945,2001-12-01,15
946,2001-12-06,18
947,2001-12-08,21
948,2001-12-11,16
949,2001-12-12,25
950,2001-12-14,19
951,2001-12-16,21
952,2001-12-19,23
953,2001-12-21,12
954,2001-12-22,26
955,2001-12-26,28
956,2001-12-27,6
957,2001-12-29,51
958,2001-12-31,45
959,2002-01-04,29
960,2002-01-08,18
961,2002-01-11,22
962,2002-01-12,35
963,2002-01-15,20
964,2002-01-16,10
965,2002-01-19,16
966,2002-01-21,29
967,2002-01-22,30
968,2002-01-24,40
969,2002-01-26,41
970,2002-01-29,32
971,2002-01-31,26
972,2002-02-01,28
973,2002-02-03,23
974,2002-02-05,23
975,2002-02-07,25
976,2002-02-12,22
