index,date,points,fgp
716,2018-12-25,41,.429
717,2018-12-27,45,.423
718,2018-12-29,41,.400
719,2018-12-31,43,.421
720,2019-01-03,44,.406
721,2019-01-05,38,.371
722,2019-01-07,32,.389
723,2019-01-09,42,.433
724,2019-01-11,43,.500
725,2019-01-13,38,.344
726,2019-01-14,57,.515
727,2019-01-16,58,.471
728,2019-01-19,48,.467
729,2019-01-21,37,.462
730,2019-01-23,61,.447
731,2019-01-25,35,.360
732,2019-01-27,40,.519
733,2019-01-29,37,.344
734,2019-02-01,30,.429
735,2019-02-02,43,.545
736,2019-02-04,44,.577
737,2019-02-06,36,.500
738,2019-02-09,42,.393
739,2019-02-11,31,.391
740,2019-02-13,42,.441
741,2019-02-21,30,.458
742,2019-02-25,28,.333
743,2019-02-27,30,.345
744,2019-02-28,58,.500
