index,date,points,fgp,result
523,2016-03-23,26,.421,L (-2)
524,2016-03-25,32,.500,W (+3)
525,2016-03-27,34,.500,L (-3)
526,2016-03-29,27,.500,W (+6)
527,2016-03-31,24,.400,L (-3)
528,2016-04-03,41,.480,W (+8)
529,2016-04-06,26,.364,L (-2)
530,2016-04-07,30,.714,L (-9)
531,2016-04-10,40,.452,W (+20)
532,2016-04-11,34,.571,W (+24)
533,2016-04-13,38,.481,W (+35)
534,2016-10-26,34,.474,L (-6)
535,2016-10-28,26,.500,W (+8)
536,2016-10-30,28,.348,W (+1)
537,2016-11-01,41,.650,L (-8)
538,2016-11-02,30,.563,W (+19)
539,2016-11-05,30,.526,L (-15)
540,2016-11-07,32,.474,W (+8)
541,2016-11-09,24,.474,W (+2)
542,2016-11-12,25,.389,L (-6)
543,2016-11-14,33,.600,W (+27)
544,2016-11-16,13,.250,L (-2)
545,2016-11-17,26,.412,W (+17)
546,2016-11-19,31,.417,W (+9)
547,2016-11-21,28,.353,W (+3)
548,2016-11-23,29,.538,L (-13)
549,2016-11-25,23,.333,W (+13)
550,2016-11-27,38,.500,W (+16)
551,2016-11-29,26,.348,L (-19)
552,2016-12-01,29,.348,W (+5)
553,2016-12-02,20,.375,W (+18)
554,2016-12-05,37,.571,W (+1)
555,2016-12-07,25,.571,W (+39)
556,2016-12-09,21,.261,W (+3)
557,2016-12-10,18,.333,W (+22)
558,2016-12-12,36,.444,W (+4)
559,2016-12-14,15,.571,W (+34)
560,2016-12-16,29,.467,W (+22)
561,2016-12-17,28,.400,W (+2)
562,2016-12-20,31,.385,L (-2)
563,2016-12-21,27,.444,W (+14)
564,2016-12-23,16,.462,L (-6)
565,2016-12-26,32,.500,W (+16)
566,2016-12-27,34,.563,W (+16)
567,2016-12-30,30,.667,W (+24)
568,2016-12-31,53,.538,W (+7)
569,2017-01-02,23,.250,W (+10)
570,2017-01-05,26,.375,W (+2)
571,2017-01-06,14,.333,W (+7)
572,2017-01-08,40,.500,W (+7)
573,2017-01-10,40,.458,W (+7)
574,2017-01-11,33,.435,L (-14)
575,2017-01-13,27,.429,L (-5)
576,2017-01-15,22,.375,W (+25)
577,2017-01-17,40,.400,L (-6)
578,2017-01-18,38,.560,W (+19)
579,2017-01-20,17,.462,L (-17)
580,2017-01-21,29,.778,W (+24)
581,2017-01-23,26,.600,L (-13)
582,2017-01-25,30,.333,L (-11)
583,2017-01-27,51,.571,W (+5)
584,2017-01-29,15,.176,L (-19)
585,2017-01-31,10,.333,W (+22)
586,2017-02-02,41,.435,L (-5)
587,2017-02-03,42,.394,W (+4)
588,2017-02-07,25,.286,W (+24)
589,2017-02-09,30,.381,W (+12)
590,2017-02-11,40,.529,W (+31)
591,2017-02-15,38,.476,L (-8)
592,2017-02-23,13,.333,W (+30)
593,2017-02-25,24,.400,W (+12)
594,2017-02-27,25,.294,L (-9)
595,2017-03-01,26,.467,W (+19)
596,2017-03-04,33,.600,W (+15)
