index,date,points
807,1970-11-06,8
808,1970-11-08,20
809,1970-11-10,19
810,1970-11-11,27
811,1970-11-13,24
812,1970-11-17,24
813,1970-11-19,32
814,1970-11-20,28
815,1970-11-22,31
816,1970-11-27,12
817,1970-11-28,12
818,1970-11-29,19
819,1970-12-01,18
820,1970-12-02,29
821,1970-12-04,5
822,1970-12-05,36
823,1970-12-06,31
824,1970-12-08,36
825,1970-12-11,22
826,1970-12-13,12
827,1970-12-15,25
828,1970-12-16,35
829,1970-12-19,20
830,1970-12-21,25
831,1970-12-22,18
832,1970-12-25,24
833,1970-12-27,28
834,1970-12-29,34
835,1970-12-30,32
836,1971-01-01,9
837,1971-01-02,25
838,1971-01-05,41
839,1971-01-07,12
840,1971-01-08,20
841,1971-01-10,25
842,1971-01-14,30
843,1971-01-16,15
844,1971-01-19,3
845,1971-01-22,12
846,1971-01-24,35
847,1971-01-26,11
848,1971-01-28,24
849,1971-01-29,27
850,1971-01-30,13
851,1971-01-31,33
852,1971-02-02,9
853,1971-02-05,14
854,1971-02-06,16
855,1971-02-07,9
856,1971-02-09,11
857,1971-02-11,25
858,1971-02-12,17
859,1971-02-14,11
860,1971-02-16,19
861,1971-02-18,18
862,1971-02-19,5
863,1971-02-21,25
864,1971-02-23,11
865,1971-02-24,27
866,1971-02-26,30
867,1971-02-27,10
868,1971-02-28,7
869,1971-03-02,18
870,1971-03-03,24
871,1971-03-05,22
872,1971-03-06,22
873,1971-03-07,20
874,1971-03-09,28
875,1971-03-12,7
876,1971-03-14,11
877,1971-03-16,8
878,1971-03-17,25
879,1971-03-19,28
880,1971-03-21,2
881,1971-10-15,26
882,1971-10-16,15
883,1971-10-19,20
884,1971-10-20,18
885,1971-10-22,4
886,1971-10-24,17
887,1971-10-29,25
888,1971-10-30,7
889,1971-10-31,12
890,1971-11-05,12
891,1971-11-06,4
892,1971-11-07,10
893,1971-11-09,5
894,1971-11-10,6
895,1971-11-12,7
896,1971-11-13,6
897,1971-11-14,3
898,1971-11-16,4
899,1971-11-19,13
900,1971-11-21,11
901,1971-11-25,17
902,1971-11-26,31
903,1971-11-28,21
904,1971-12-01,8
905,1971-12-03,8
906,1971-12-05,17
907,1971-12-08,3
908,1971-12-09,3
909,1971-12-10,14
910,1971-12-12,8
911,1971-12-14,24
912,1971-12-17,7
913,1971-12-18,18
914,1971-12-19,32
915,1971-12-21,31
916,1971-12-22,6
917,1971-12-26,14
918,1971-12-28,23
919,1971-12-30,17
920,1972-01-02,4
921,1972-01-05,10
922,1972-01-07,14
923,1972-01-09,15
924,1972-01-11,29
925,1972-01-12,24
926,1972-01-14,23
927,1972-01-21,28
928,1972-01-22,17
929,1972-01-25,16
930,1972-01-28,13
931,1972-01-30,27
932,1972-02-04,18
933,1972-02-05,5
934,1972-02-06,17
935,1972-02-08,11
936,1972-02-09,19
937,1972-02-11,16
938,1972-02-13,17
939,1972-02-15,12
940,1972-02-16,19
941,1972-02-18,19
942,1972-02-19,13
943,1972-02-20,11
944,1972-02-22,30
945,1972-02-23,10
946,1972-02-25,12
947,1972-02-27,15
948,1972-02-29,20
949,1972-03-01,8
950,1972-03-03,8
951,1972-03-05,10
952,1972-03-07,20
953,1972-03-10,19
954,1972-03-12,11
955,1972-03-14,28
956,1972-03-15,17
957,1972-03-17,18
958,1972-03-19,10
959,1972-03-21,11
960,1972-03-22,23
961,1972-03-24,12
962,1972-03-26,7
963,1972-10-11,7
964,1972-10-13,15
965,1972-10-14,16
966,1972-10-15,6
967,1972-10-20,14
968,1972-10-22,13
969,1972-10-24,15
970,1972-10-25,21
971,1972-10-27,7
972,1972-10-29,12
973,1972-11-03,22
974,1972-11-04,18
975,1972-11-05,24
976,1972-11-07,11
977,1972-11-10,11
978,1972-11-14,16
979,1972-11-15,21
980,1972-11-17,13
981,1972-11-19,14
982,1972-11-24,14
983,1972-11-25,18
984,1972-11-26,20
985,1972-12-01,7
986,1972-12-02,6
987,1972-12-05,9
988,1972-12-08,3
989,1972-12-10,14
990,1972-12-12,8
991,1972-12-13,14
992,1972-12-15,18
993,1972-12-19,25
994,1972-12-20,15
995,1972-12-22,5
996,1972-12-26,11
997,1972-12-27,12
998,1972-12-29,10
999,1973-01-01,6
1000,1973-01-02,2
1001,1973-01-06,6
1002,1973-01-07,9
1003,1973-01-10,9
1004,1973-01-12,7
1005,1973-01-14,9
1006,1973-01-16,16
1007,1973-01-19,2
1008,1973-01-20,10
1009,1973-01-21,29
1010,1973-01-26,6
1011,1973-01-27,11
1012,1973-01-28,22
1013,1973-01-30,12
1014,1973-02-01,25
1015,1973-02-02,18
1016,1973-02-04,9
1017,1973-02-06,5
1018,1973-02-07,13
1019,1973-02-09,8
1020,1973-02-11,12
1021,1973-02-13,18
1022,1973-02-16,11
1023,1973-02-17,17
1024,1973-02-18,10
1025,1973-02-20,16
1026,1973-02-21,18
1027,1973-02-23,4
1028,1973-02-25,24
1029,1973-02-27,12
1030,1973-03-02,13
1031,1973-03-04,4
1032,1973-03-06,22
1033,1973-03-09,11
1034,1973-03-11,22
1035,1973-03-13,25
1036,1973-03-14,22
1037,1973-03-16,14
1038,1973-03-18,16
1039,1973-03-20,13
1040,1973-03-21,19
1041,1973-03-23,19
1042,1973-03-25,20
1043,1973-03-27,0
1044,1973-03-28,1
